$Date,$Time,P21P303A_IFASE_A,P21P303A_VOLT_AB,P21P303B_IFASE_A,P21P303B_VOLT_AB,P21P303C_IFASE_A,P21P303C_VOLT_AB
05/29/23,00:00:00,0,0,132,0,0,0
05/29/23,00:20:09,0,4131,132,4172,0,5
05/29/23,00:40:19,0,4136,132,4171,0,8
05/29/23,01:00:28,0,4148,132,4176,0,10
05/29/23,01:20:38,0,4143,132,4172,0,9
05/29/23,01:40:48,0,4144,132,4181,0,1
05/29/23,02:00:57,0,4132,133,4177,0,2
05/29/23,02:21:07,0,4148,132,4174,0,2
05/29/23,02:41:16,0,4132,132,4177,0,9
05/29/23,03:01:26,0,4145,132,4173,0,4
05/29/23,03:21:36,0,4146,132,4181,0,2
05/29/23,03:41:45,0,4144,132,4184,0,9
05/29/23,04:01:55,0,4144,133,4172,0,1
05/29/23,04:22:04,0,4133,132,4176,0,6
05/29/23,04:42:14,0,4132,132,4174,0,7
05/29/23,05:02:24,0,4146,132,4171,0,5
05/29/23,05:22:33,0,4149,132,4172,0,4
05/29/23,05:42:43,0,4146,132,4185,0,3
05/29/23,06:02:52,0,4132,132,4180,0,4
05/29/23,06:23:02,0,4143,132,4174,0,0
05/29/23,06:43:12,0,4132,132,4180,0,6
05/29/23,07:03:21,0,4143,133,4179,0,5
05/29/23,07:23:31,0,4142,132,4183,0,7
05/29/23,07:43:40,0,4132,132,4183,0,1
05/29/23,08:03:50,0,4146,132,4183,0,2
05/29/23,08:24:00,0,4138,132,4178,0,8
05/29/23,08:44:09,0,4138,132,4174,0,0
05/29/23,09:04:19,0,4145,131,4175,0,6
05/29/23,09:24:28,0,4134,130,4171,0,0
05/29/23,09:44:38,0,4132,130,4171,0,9
05/29/23,10:04:48,0,4135,129,4183,0,7
05/29/23,10:24:57,0,4149,130,4180,0,6
05/29/23,10:45:07,0,4144,130,4177,0,4
05/29/23,11:05:16,0,4140,130,4168,0,6
05/29/23,11:25:26,0,4130,129,4169,0,4
05/29/23,11:45:36,0,4148,130,4172,0,8
05/29/23,12:05:45,0,4149,130,4170,0,0
05/29/23,12:25:55,0,4145,132,4173,0,4
05/29/23,12:46:04,0,4147,132,4183,0,3
05/29/23,13:06:14,0,4141,132,4168,0,2
05/29/23,13:26:24,0,4142,132,4174,0,1
