$Date;$Time;P21P303A_IFASE_A;P21P303A_VOLT_AB;P21P303B_IFASE_A;P21P303B_VOLT_AB;P21P303C_IFASE_A;P21P303C_VOLT_AB
10/30/23;0:00:00;0;0;0;0;0;0
10/30/23;0:20:09;0;4132;0;4177;0;10
10/30/23;0:40:19;0;4135;0;4187;0;9
10/30/23;1:00:28;0;4146;0;4181;0;9
10/30/23;1:20:38;0;4133;0;4174;0;9
10/30/23;1:40:48;0;4148;0;4178;0;3
10/30/23;2:00:57;0;4136;0;4182;0;9
10/30/23;2:21:07;0;4135;0;4179;0;2
10/30/23;2:41:16;0;4135;0;4179;0;3
10/30/23;3:01:26;0;4145;0;4181;0;4
10/30/23;3:21:36;0;4147;0;4181;0;8
10/30/23;3:41:45;0;4144;0;4176;0;3
10/30/23;4:01:55;0;4147;0;4176;0;2
10/30/23;4:22:04;0;4145;0;4178;0;3
10/30/23;4:42:14;0;4148;0;4176;0;7
10/30/23;5:02:24;0;4146;0;4175;0;6
10/30/23;5:22:33;0;4133;0;4177;0;5
10/30/23;5:42:43;0;4148;0;4186;0;0
10/30/23;6:02:52;0;4146;0;4186;0;6
10/30/23;6:23:02;0;4142;0;4174;0;4
10/30/23;6:43:12;0;4145;0;4177;0;0
10/30/23;7:03:21;0;4150;0;4182;0;2
10/30/23;7:23:31;0;4130;0;4181;0;10
10/30/23;7:43:40;0;4151;0;4175;0;9
10/30/23;8:03:50;0;4147;0;4176;0;9
10/30/23;8:24:00;0;4139;0;4177;0;3
10/30/23;8:44:09;0;4138;0;4177;0;5
10/30/23;9:04:19;0;4134;0;4180;0;3
10/30/23;9:24:28;0;4142;0;4180;0;4
10/30/23;9:44:38;0;4139;0;4180;0;2
10/30/23;10:04:48;0;4143;0;4176;0;0
10/30/23;10:24:57;0;4130;0;4174;0;2
10/30/23;10:45:07;0;4131;0;4175;0;6
10/30/23;11:05:16;0;4143;0;4175;0;9
10/30/23;11:25:26;0;4148;0;4177;0;3
10/30/23;11:45:36;0;4133;0;4178;0;3
10/30/23;12:05:45;0;4130;0;4174;0;9
10/30/23;12:25:55;0;4137;0;4182;0;4
10/30/23;12:46:04;0;4131;0;4174;0;4
10/30/23;13:06:14;0;4146;0;4182;0;7
10/30/23;13:26:24;0;4129;0;4181;0;6
10/30/23;13:46:33;0;4140;0;4181;0;10
10/30/23;14:06:43;0;4133;0;4181;0;5
10/30/23;14:26:52;0;4145;0;4181;0;1
10/30/23;14:47:02;0;4134;0;4184;0;9
10/30/23;15:07:12;0;4140;0;4174;0;4
10/30/23;15:27:21;0;4144;0;4175;0;7
10/30/23;15:47:31;0;4147;0;4173;0;2
10/30/23;16:07:40;0;4144;0;4175;0;6
10/30/23;16:27:50;0;4145;0;4173;0;0
10/30/23;16:48:00;0;4133;0;4181;0;10
10/30/23;17:08:09;0;4130;0;4177;0;6
10/30/23;17:28:19;0;4135;0;4174;0;4
10/30/23;17:48:28;0;4145;0;4175;0;7
10/30/23;18:08:38;0;4132;0;4175;0;3
10/30/23;18:28:48;0;4145;0;4175;0;3
10/30/23;18:48:57;0;4135;0;4179;0;5
10/30/23;19:09:07;0;4143;0;4174;0;3
10/30/23;19:29:16;0;4134;0;4175;0;5
10/30/23;19:49:26;0;4149;0;4175;0;8
10/30/23;20:09:36;0;4148;0;4177;0;10
10/30/23;20:29:45;0;4147;0;4175;0;2
10/30/23;20:49:55;0;4143;0;4177;0;1
10/30/23;21:10:04;0;4138;0;4180;0;3
10/30/23;21:30:14;0;4135;0;4187;0;0
