$Date,$Time,P21P303A_IFASE_A,P21P303B_IFASE_A,P21P303C_IFASE_A,P21P303A_VOLT_AB,P21P303B_VOLT_AB,P21P303C_VOLT_AB
11/13/23,00:00:00,0,0,0,0,0,0
11/13/23,00:20:09,0,131,0,0,4171,3
11/13/23,00:40:19,0,131,0,3,4185,10
11/13/23,01:00:28,0,131,0,7,4177,4
11/13/23,01:20:38,0,131,0,14,4175,8
11/13/23,01:40:48,0,131,0,2,4183,8
11/13/23,02:00:57,0,131,0,13,4181,0
11/13/23,02:21:07,0,131,0,9,4172,4
11/13/23,02:41:16,0,131,0,12,4173,7
11/13/23,03:01:26,0,131,0,9,4174,2
11/13/23,03:21:36,0,131,0,0,4181,7
11/13/23,03:41:45,0,131,0,9,4182,1
11/13/23,04:01:55,0,131,0,2,4175,7
11/13/23,04:22:04,0,131,0,13,4172,9
11/13/23,04:42:14,0,131,0,0,4175,10
11/13/23,05:02:24,0,131,0,3,4175,10
11/13/23,05:22:33,0,131,0,1,4182,4
11/13/23,05:42:43,0,131,0,4,4174,4
11/13/23,06:02:52,0,131,0,3,4185,4
11/13/23,06:23:02,0,131,0,0,4175,4
11/13/23,06:43:12,0,131,0,3,4179,8
11/13/23,07:03:21,0,131,0,11,4180,3
11/13/23,07:23:31,0,131,0,2,4176,7
11/13/23,07:43:40,0,131,0,7,4177,1
11/13/23,08:03:50,0,130,0,13,4178,6
11/13/23,08:24:00,0,130,0,7,4179,8
11/13/23,08:44:09,0,130,0,5,4171,3
11/13/23,09:04:19,0,131,0,4,4176,1
11/13/23,09:24:28,0,130,0,12,4171,8
11/13/23,09:44:38,0,130,0,8,4177,4
11/13/23,10:04:48,0,131,0,4,4175,1
11/13/23,10:24:57,0,130,0,11,4175,1
11/13/23,10:45:07,0,130,0,7,4175,4
11/13/23,11:05:16,0,130,0,9,4172,0
11/13/23,11:25:26,0,130,0,9,4173,4
11/13/23,11:45:36,0,130,0,11,4178,2
11/13/23,12:05:45,0,130,0,3,4179,3
11/13/23,12:25:55,0,130,0,10,4172,10
11/13/23,12:46:04,0,130,0,5,4179,2
11/13/23,13:06:14,0,130,0,10,4170,4
11/13/23,13:26:24,0,130,0,3,4172,3
11/13/23,13:46:33,0,130,0,12,4177,4
11/13/23,14:06:43,0,130,0,11,4175,4
11/13/23,14:26:52,0,130,0,13,4175,8
11/13/23,14:47:02,0,130,0,9,4182,1
11/13/23,15:07:12,0,130,0,3,4175,4
11/13/23,15:27:21,0,130,0,0,4172,5
11/13/23,15:47:31,0,130,0,11,4174,3
11/13/23,16:07:40,0,130,0,3,4179,3
11/13/23,16:27:50,0,130,0,0,4181,2
11/13/23,16:48:00,0,130,0,4,4182,3
11/13/23,17:08:09,0,130,0,12,4172,8
11/13/23,17:28:19,0,130,0,0,4182,4
11/13/23,17:48:28,0,130,0,8,4171,1
11/13/23,18:08:38,0,130,0,1,4173,4
11/13/23,18:28:48,0,130,0,5,4174,3
11/13/23,18:48:57,0,131,0,1,4172,5
11/13/23,19:09:07,0,130,0,0,4174,4
11/13/23,19:29:16,0,130,0,7,4175,4
11/13/23,19:49:26,0,130,0,13,4175,10
11/13/23,20:09:36,0,130,0,13,4179,3
11/13/23,20:29:45,0,130,0,7,4177,6
11/13/23,20:49:55,0,131,0,0,4175,8
11/13/23,21:10:04,0,130,0,12,4180,8
11/13/23,21:30:14,0,130,0,12,4181,3
11/13/23,21:50:24,0,130,0,9,4179,4
11/13/23,22:10:33,0,130,0,9,4174,0
11/13/23,22:30:43,0,130,0,7,4181,6
11/13/23,22:50:52,0,130,0,0,4176,0
11/13/23,23:11:02,0,130,0,10,4174,1
11/13/23,23:31:12,0,131,0,3,4178,7
11/13/23,23:51:21,0,130,0,6,4178,1
11/14/23,00:11:31,0,130,0,5,4183,2
11/14/23,00:31:40,0,130,0,4,4177,3
11/14/23,00:51:50,0,130,0,0,4175,1
11/14/23,01:12:00,0,129,0,0,4175,7
11/14/23,01:32:09,0,130,0,5,4181,3
11/14/23,01:52:19,0,129,0,6,4172,2
11/14/23,02:12:28,0,130,0,0,4174,2
11/14/23,02:32:38,0,130,0,7,4174,0
11/14/23,02:52:48,0,130,0,0,4183,5
11/14/23,03:12:57,0,129,0,9,4175,2
