$Date,$Time,P21P303A_IFASE_A,P21P303B_IFASE_A,P21P303C_IFASE_A,P21P303A_VOLT_AB,P21P303A_VOLT_BC,P21P303A_VOLT_CA
12/04/23,00:00:00,0,0,0,0,0,0
12/04/23,00:20:09,0,130,0,4145,4136,4168
12/04/23,00:40:19,0,131,0,4134,4121,4158
12/04/23,01:00:28,0,131,0,4135,4130,4162
12/04/23,01:20:38,0,130,0,4146,4133,4168
12/04/23,01:40:48,0,130,0,4148,4133,4172
12/04/23,02:00:57,0,131,0,4147,4133,4171
12/04/23,02:21:07,0,131,0,4151,4122,4175
12/04/23,02:41:16,0,130,0,4149,4118,4175
12/04/23,03:01:26,0,130,0,4147,4119,4172
12/04/23,03:21:36,0,131,0,4135,4130,4159
12/04/23,03:41:45,0,131,0,4146,4119,4171
12/04/23,04:01:55,0,131,0,4134,4126,4157
12/04/23,04:22:04,0,131,0,4151,4121,4177
12/04/23,04:42:14,0,131,0,4143,4131,4165
12/04/23,05:02:24,0,131,0,4145,4133,4167
12/04/23,05:22:33,0,130,0,4145,4136,4169
12/04/23,05:42:43,0,130,0,4140,4129,4166
12/04/23,06:02:52,0,131,0,4132,4123,4158
12/04/23,06:23:02,0,131,0,4136,4128,4158
12/04/23,06:43:12,0,130,0,4150,4133,4174
12/04/23,07:03:21,0,131,0,4149,4120,4174
12/04/23,07:23:31,0,131,0,4148,4132,4174
12/04/23,07:43:40,0,131,0,4147,4132,4171
12/04/23,08:03:50,0,130,0,4145,4134,4172
12/04/23,08:24:00,0,130,0,4151,4123,4176
12/04/23,08:44:09,0,129,0,4139,4114,4163
12/04/23,09:04:19,0,129,0,4139,4129,4162
12/04/23,09:24:28,0,130,0,4145,4134,4169
12/04/23,09:44:38,0,130,0,4134,4131,4157
12/04/23,10:04:48,0,130,0,4147,4120,4174
12/04/23,10:24:57,0,130,0,4130,4124,4154
12/04/23,10:45:07,0,130,0,4145,4135,4172
12/04/23,11:05:16,0,130,0,4140,4116,4164
12/04/23,11:25:26,0,130,0,4145,4133,4168
12/04/23,11:45:36,0,130,0,4146,4133,4171
12/04/23,12:05:45,0,130,0,4145,4129,4170
12/04/23,12:25:55,0,130,0,4133,4127,4158
12/04/23,12:46:04,0,130,0,4140,4129,4163
12/04/23,13:06:14,0,130,0,4134,4128,4157
12/04/23,13:26:24,0,130,0,4152,4119,4174
12/04/23,13:46:33,0,130,0,4145,4134,4170
12/04/23,14:06:43,0,130,0,4145,4132,4172
12/04/23,14:26:52,0,130,0,4138,4116,4160
12/04/23,14:47:02,0,130,0,4139,4114,4161
12/04/23,15:07:12,0,131,0,4141,4115,4164
