$Date,$Time,P21P303A_IFASE_A,P21P303A_VOLT_AB,P21P303B_IFASE_A,P21P303B_VOLT_AB,P21P303C_IFASE_A,P21P303C_VOLT_AB
11/27/23,00:00:30,0,0,130,0,0,0
11/27/23,00:20:39,0,4145,130,4183,0,1
11/27/23,00:40:49,0,4131,130,4177,0,0
11/27/23,01:00:58,0,4139,131,4177,0,5
11/27/23,01:21:08,0,4137,131,4172,0,8
11/27/23,01:41:18,0,4133,130,4177,0,2
11/27/23,02:01:27,0,4146,131,4177,0,5
11/27/23,02:21:37,0,4137,130,4176,0,5
11/27/23,02:41:46,0,4133,131,4179,0,3
11/27/23,03:01:56,0,4146,131,4184,0,6
11/27/23,03:22:06,0,4133,131,4171,0,4
11/27/23,03:42:15,0,4146,131,4176,0,0
11/27/23,04:02:25,0,4143,131,4174,0,6
11/27/23,04:22:34,0,4146,130,4174,0,4
11/27/23,04:42:44,0,4134,130,4182,0,3
11/27/23,05:02:54,0,4142,130,4172,0,7
11/27/23,05:23:03,0,4133,131,4182,0,5
11/27/23,05:43:13,0,4132,130,4178,0,6
11/27/23,06:03:22,0,4152,130,4174,0,6
11/27/23,06:23:32,0,4133,131,4172,0,3
11/27/23,06:43:42,0,4148,130,4173,0,5
11/27/23,07:03:51,0,4138,131,4171,0,4
11/27/23,07:24:01,0,4142,130,4176,0,3
11/27/23,07:44:10,0,4131,130,4177,0,4
11/27/23,08:04:20,0,4146,131,4184,0,8
11/27/23,08:24:30,0,4136,130,4175,0,1
11/27/23,08:44:39,0,4136,129,4172,0,6
11/27/23,09:04:49,0,4145,130,4173,0,2
11/27/23,09:24:58,0,4137,129,4170,0,0
11/27/23,09:45:08,0,4142,130,4173,0,2
11/27/23,10:05:18,0,4128,129,4171,0,2
11/27/23,10:25:27,0,4132,130,4176,0,2
11/27/23,10:45:37,0,4142,130,4172,0,6
11/27/23,11:05:46,0,4145,131,4174,0,10
11/27/23,11:25:56,0,4144,130,4172,0,3
11/27/23,11:46:06,0,4131,130,4172,0,4
11/27/23,12:06:15,0,4132,131,4174,0,9
11/27/23,12:26:25,0,4147,131,4177,0,10
11/27/23,12:46:34,0,4145,130,4171,0,4
11/27/23,13:06:44,0,4147,130,4173,0,4
11/27/23,13:26:54,0,4150,130,4174,0,2
11/27/23,13:47:03,0,4144,130,4181,0,7
11/27/23,14:07:13,0,4143,130,4173,0,4
11/27/23,14:27:22,0,4150,130,4173,0,9
11/27/23,14:47:32,0,4130,130,4181,0,9
11/27/23,15:07:42,0,4144,130,4172,0,8
11/27/23,15:27:51,0,4149,130,4173,0,4
11/27/23,15:48:01,0,4134,130,4171,0,6
11/27/23,16:08:10,0,4146,130,4174,0,4
11/27/23,16:28:20,0,4146,131,4174,0,1
11/27/23,16:48:30,0,4132,130,4181,0,1
11/27/23,17:08:39,0,4143,130,4173,0,1
11/27/23,17:28:49,0,4145,130,4175,0,7
11/27/23,17:48:58,0,4133,131,4184,0,5
11/27/23,18:09:08,0,4134,130,4175,0,4
11/27/23,18:29:18,0,4143,131,4176,0,2
11/27/23,18:49:27,0,4136,131,4177,0,0
11/27/23,19:09:37,0,4135,130,4174,0,7
11/27/23,19:29:46,0,4131,130,4184,0,9
11/27/23,19:49:56,0,4143,130,4173,0,9
11/27/23,20:10:06,0,4137,130,4175,0,8
11/27/23,20:30:15,0,4132,130,4175,0,0
11/27/23,20:50:25,0,4147,130,4172,0,4
11/27/23,21:10:34,0,4134,130,4182,0,9
11/27/23,21:30:44,0,4150,131,4181,0,3
11/27/23,21:50:54,0,4145,130,4178,0,4
11/27/23,22:11:03,0,4151,130,4173,0,6
11/27/23,22:31:13,0,4136,130,4175,0,4
11/27/23,22:51:22,0,4136,130,4184,0,4
11/27/23,23:11:32,0,4132,130,4175,0,0
11/27/23,23:31:42,0,4150,130,4176,0,6
11/27/23,23:51:51,0,4136,130,4176,0,9
11/28/23,00:12:01,0,4150,130,4183,0,0
11/28/23,00:32:10,0,4133,130,4177,0,6
11/28/23,00:52:20,0,4148,130,4184,0,8
11/28/23,01:12:30,0,4144,130,4173,0,4
11/28/23,01:32:39,0,4134,131,4184,0,3
11/28/23,01:52:49,0,4145,130,4180,0,10
11/28/23,02:12:58,0,4139,130,4177,0,8
11/28/23,02:33:08,0,4152,130,4175,0,4
11/28/23,02:53:18,0,4149,130,4174,0,3
11/28/23,03:13:27,0,4146,130,4173,0,9
11/28/23,03:33:37,0,4130,130,4172,0,3
11/28/23,03:53:46,0,4134,131,4185,0,2
11/28/23,04:13:56,0,4139,130,4184,0,1
11/28/23,04:34:06,0,4132,131,4174,0,1
11/28/23,04:54:15,0,4135,130,4173,0,2
11/28/23,05:14:25,0,4148,130,4172,0,3
11/28/23,05:34:34,0,4148,130,4174,0,10
11/28/23,05:54:44,0,4145,131,4173,0,8
11/28/23,06:14:54,0,4146,131,4177,0,9
11/28/23,06:35:03,0,4139,131,4177,0,4
11/28/23,06:55:13,0,4131,130,4176,0,5
11/28/23,07:15:22,0,4133,130,4174,0,1
11/28/23,07:35:32,0,4145,130,4174,0,4
11/28/23,07:55:42,0,4134,130,4179,0,4
11/28/23,08:15:51,0,4143,131,4172,0,9
11/28/23,08:36:01,0,4136,130,4183,0,3
11/28/23,08:56:10,0,4136,130,4176,0,8
11/28/23,09:16:20,0,4137,130,4179,0,10
11/28/23,09:36:30,0,4146,130,4177,0,4
11/28/23,09:56:39,0,4143,130,4176,0,2
11/28/23,10:16:49,0,4143,129,4173,0,5
11/28/23,10:36:58,0,4148,130,4176,0,4
11/28/23,10:57:08,0,4143,130,4180,0,6
11/28/23,11:17:18,0,4133,129,4174,0,0
11/28/23,11:37:27,0,4146,129,4172,0,3
11/28/23,11:57:37,0,4146,129,4181,0,4
11/28/23,12:17:46,0,4131,130,4174,0,10
11/28/23,12:37:56,0,4131,129,4180,0,4
11/28/23,12:58:06,0,4130,130,4173,0,3
11/28/23,13:18:15,0,4133,129,4172,0,2
11/28/23,13:38:25,0,4133,130,4174,0,10
11/28/23,13:58:34,0,4144,130,4173,0,9
11/28/23,14:18:44,0,4143,129,4170,0,3
11/28/23,14:38:54,0,4132,129,4178,0,6
11/28/23,14:59:03,0,4147,130,4181,0,6
11/28/23,15:19:13,0,4144,129,4175,0,10
11/28/23,15:39:22,0,4135,130,4173,0,10
11/28/23,15:59:32,0,4131,130,4175,0,2
11/28/23,16:19:42,0,4136,130,4174,0,6
11/28/23,16:39:51,0,4144,130,4174,0,1
11/28/23,17:00:01,0,4144,130,4178,0,4
11/28/23,17:20:10,0,4135,130,4177,0,2
11/28/23,17:40:20,0,4133,131,4179,0,4
11/28/23,18:00:30,0,4145,130,4173,0,7
11/28/23,18:20:39,0,4138,130,4173,0,4
11/28/23,18:40:49,0,4145,130,4179,0,3
11/28/23,19:00:58,0,4145,130,4181,0,8
11/28/23,19:21:08,0,4136,130,4172,0,4
11/28/23,19:41:18,0,4142,131,4181,0,10
11/28/23,20:01:27,0,4137,130,4171,0,0
11/28/23,20:21:37,0,4139,130,4173,0,3
11/28/23,20:41:46,0,4146,130,4173,0,8
11/28/23,21:01:56,0,4152,130,4175,0,9
11/28/23,21:22:06,0,4146,130,4179,0,3
11/28/23,21:42:15,0,4148,130,4184,0,2
11/28/23,22:02:25,0,4135,131,4174,0,4
11/28/23,22:22:34,0,4148,130,4179,0,8
11/28/23,22:42:44,0,4133,130,4180,0,8
11/28/23,23:02:54,0,4149,131,4182,0,3
11/28/23,23:23:03,0,4146,131,4176,0,3
11/28/23,23:43:13,0,4147,130,4183,0,1
11/29/23,00:03:22,0,0,130,0,0,0
11/29/23,00:23:32,0,4146,130,4180,0,4
11/29/23,00:43:42,0,4134,130,4178,0,6
11/29/23,01:03:51,0,4146,130,4177,0,0
11/29/23,01:24:01,0,4143,130,4172,0,6
11/29/23,01:44:10,0,4133,130,4175,0,6
11/29/23,02:04:20,0,4134,130,4174,0,2
11/29/23,02:24:30,0,4135,130,4174,0,7
11/29/23,02:44:39,0,4133,130,4172,0,1
11/29/23,03:04:49,0,4146,130,4172,0,9
11/29/23,03:24:58,0,4148,130,4176,0,10
11/29/23,03:45:08,0,4137,131,4172,0,2
11/29/23,04:05:18,0,4150,130,4171,0,5
11/29/23,04:25:27,0,4145,130,4179,0,3
11/29/23,04:45:37,0,4145,130,4174,0,3
11/29/23,05:05:46,0,4132,131,4175,0,3
11/29/23,05:25:56,0,4147,130,4173,0,4
11/29/23,05:46:06,0,4149,130,4177,0,7
11/29/23,06:06:15,0,4148,130,4177,0,1
11/29/23,06:26:25,0,4144,130,4182,0,8
11/29/23,06:46:34,0,4149,131,4183,0,1
11/29/23,07:06:44,0,4148,130,4174,0,0
11/29/23,07:26:54,0,4136,130,4182,0,2
11/29/23,07:47:03,0,4134,130,4177,0,7
11/29/23,08:07:13,0,4148,130,4183,0,1
11/29/23,08:27:22,0,4143,130,4176,0,3
11/29/23,08:47:32,0,4144,130,4171,0,6
11/29/23,09:07:42,0,4146,130,4182,0,10
11/29/23,09:27:51,0,4146,130,4175,0,3
11/29/23,09:48:01,0,4132,129,4174,0,6
11/29/23,10:08:10,0,4145,0,4173,0,2
11/29/23,10:28:20,0,4150,0,4178,0,3
11/29/23,10:48:30,0,4145,0,4172,0,9
11/29/23,11:08:39,0,4131,0,4175,0,3
11/29/23,11:28:49,0,4142,0,4175,0,0
11/29/23,11:48:58,0,4144,0,4178,0,0
11/29/23,12:09:08,0,4145,0,4175,0,3
11/29/23,12:29:18,0,4137,0,4171,0,1
11/29/23,12:49:27,0,4150,0,4174,0,8
11/29/23,13:09:37,0,4141,0,4173,0,4
11/29/23,13:29:46,0,4143,0,4177,0,3
11/29/23,13:49:56,0,4134,0,4175,0,3
11/29/23,14:10:06,0,4133,0,4177,0,6
11/29/23,14:30:15,0,4142,0,4184,0,3
11/29/23,14:50:25,0,4131,0,4175,0,4
11/29/23,15:10:34,0,4133,0,4180,0,5
11/29/23,15:30:44,0,4142,119,4176,0,0
11/29/23,15:50:54,0,4143,129,4183,0,4
11/29/23,16:11:03,0,4146,131,4174,0,5
11/29/23,16:31:13,0,4149,131,4174,0,1
11/29/23,16:51:22,0,4139,130,4184,0,8
11/29/23,17:11:32,0,4138,131,4171,0,4
11/29/23,17:31:42,0,4146,131,4175,0,3
11/29/23,17:51:51,0,4138,131,4185,0,2
11/29/23,18:12:01,0,4148,131,4181,0,4
11/29/23,18:32:10,0,4149,131,4171,0,7
11/29/23,18:52:20,0,4146,131,4172,0,5
11/29/23,19:12:30,0,4148,131,4175,0,3
11/29/23,19:32:39,0,4145,131,4175,0,2
11/29/23,19:52:49,0,4134,131,4174,0,0
11/29/23,20:12:58,0,4135,130,4174,0,7
11/29/23,20:33:08,0,4148,131,4184,0,6
11/29/23,20:53:18,0,4133,131,4174,0,2
11/29/23,21:13:27,0,4149,131,4185,0,2
11/29/23,21:33:37,0,4140,131,4182,0,7
11/29/23,21:53:46,0,4147,131,4174,0,7
11/29/23,22:13:56,0,4136,131,4172,0,3
11/29/23,22:34:06,0,4143,131,4183,0,4
11/29/23,22:54:15,0,4141,131,4172,0,9
11/29/23,23:14:25,0,4146,131,4175,0,5
11/29/23,23:34:34,0,4152,130,4173,0,6
11/29/23,23:54:44,0,4146,131,4184,0,11
11/30/23,00:14:54,0,0,131,4181,0,6
11/30/23,00:35:03,0,4137,131,4174,0,7
11/30/23,00:55:13,0,4133,131,4184,0,11
11/30/23,01:15:22,0,4134,130,4172,0,4
