$Date,$Time,P21P303A_IFASE_A,P21P303A_VOLT_AB,P21P303B_IFASE_A,P21P303B_VOLT_AB,P21P303C_IFASE_A,P21P303C_VOLT_AB
11/06/2023,00:00:00,,,,,,
11/06/2023,00:20:09,,,,,,
11/06/2023,00:40:19,,,,,,
11/06/2023,01:00:28,,,,,,
11/06/2023,01:20:38,,,,,,
11/06/2023,01:40:48,,,,,,
11/06/2023,02:00:57,,,,,,
11/06/2023,02:21:07,,,,,,
11/06/2023,02:41:16,,,,,,
11/06/2023,03:01:26,,,,,,
11/06/2023,03:21:36,,,,,,
11/06/2023,03:41:45,,,,,,
11/06/2023,04:01:55,,,,,,
11/06/2023,04:22:04,,,,,,
11/06/2023,04:42:14,,,,,,
11/06/2023,05:02:24,,,,,,
11/06/2023,05:22:33,,,,,,
11/06/2023,05:42:43,,,,,,
11/06/2023,06:02:52,,,,,,
11/06/2023,06:23:02,,,,,,
11/06/2023,06:43:12,,,,,,
11/06/2023,07:03:21,,,,,,
11/06/2023,07:23:31,,,,,,
11/06/2023,07:43:40,,,,,,
11/06/2023,08:03:50,,,,,,
11/06/2023,08:24:00,,,,,,
11/06/2023,08:44:09,,,,,,
11/06/2023,09:04:19,,,,,,
11/06/2023,09:24:28,,,,,,
11/06/2023,09:44:38,,,,,,
11/06/2023,10:04:48,,,,,,
11/06/2023,10:24:57,,,,,,
11/06/2023,10:45:07,,,,,,
11/06/2023,11:05:16,,,,,,
11/06/2023,11:25:26,,,,,,
11/06/2023,11:45:36,,,,,,
11/06/2023,12:05:45,,,,,,
11/06/2023,12:25:55,,,,,,
11/06/2023,12:46:04,,,,,,
11/06/2023,13:06:14,,,,,,
11/06/2023,13:26:24,,,,,,
11/06/2023,13:46:33,,,,,,
11/06/2023,14:06:43,,,,,,
11/06/2023,14:26:52,,,,,,
11/06/2023,14:47:02,,,,,,
11/06/2023,15:07:12,,,,,,
11/06/2023,15:27:21,,,,,,
11/06/2023,15:47:31,,,,,,
11/06/2023,16:07:40,,,,,,
11/06/2023,16:27:50,,,,,,
11/06/2023,16:48:00,,,,,,
11/06/2023,17:08:09,,,,,,
11/06/2023,17:28:19,,,,,,
11/06/2023,17:48:28,,,,,,
11/06/2023,18:08:38,,,,,,
11/06/2023,18:28:48,,,,,,
11/06/2023,18:48:57,,,,,,
11/06/2023,19:09:07,,,,,,
11/06/2023,19:29:16,,,,,,
11/06/2023,19:49:26,0,3,136,4176,0,8
11/06/2023,20:09:36,0,2,136,4178,0,5
11/06/2023,20:29:45,0,5,136,4185,0,7
11/06/2023,20:49:55,0,10,136,4172,0,4
11/06/2023,21:10:04,0,4,136,4177,0,1
11/06/2023,21:30:14,0,9,136,4180,0,4
11/06/2023,21:50:24,0,3,136,4183,0,4
11/06/2023,22:10:33,0,0,136,4175,0,7
11/06/2023,22:30:43,0,13,136,4179,0,0
11/06/2023,22:50:52,0,2,136,4178,0,3
11/06/2023,23:11:02,0,3,136,4174,0,0
11/06/2023,23:31:12,0,10,136,4181,0,1
11/06/2023,23:51:21,0,0,135,4173,0,0
11/07/2023,00:11:31,0,5,135,4174,0,2
